"","Gene_id","AvgDif_12B","AvgDif_10G","AvgDif_3D7B","Red_12B","Red_10G","Red_3D7B","MaxAvgDif","Exp_12B","Exp_10G","Exp_3D7B"
"2488","PF3D7_1013400",0.172359050314919,0.289375007385551,-0.320605237705019,1517.025,1378.98333333333,1322.925,0.609980245090569,1,1,1
"2489","PF3D7_1013500",-0.0277121906997578,-0.0336118831042909,-0.0370944543228812,4244.18333333333,3333.58333333333,3599.55,0.00938226362312341,1,1,1
"2490","PF3D7_1013600",0.0802112836112626,-0.105088439419734,0.00221124652500997,7223.25416666667,6691.9875,5290.9125,0.185299723030996,1,1,1
"2491","PF3D7_1013700",-0.015690194648332,-0.131653129709284,0.108596077500939,866.900000000002,1153.58333333333,1244.33333333333,0.240249207210223,1,1,1
"2492","PF3D7_1013800",0.0342699218310424,-0.10623855978862,0.0899776824351265,6837.63333333334,4735.36666666666,7131.06666666666,0.196216242223746,1,1,1
"2493","PF3D7_1013900",-0.0950946706245335,0.0907793839352941,-0.0479190415814754,5067.63333333334,5427.3625,5067.44166666667,0.185874054559828,1,1,1
"2494","PF3D7_1014000",-0.21175967372646,0.142297111146269,0.179718609240172,345.75,256.108333333333,414.083333333333,0.391478282966632,0,0,0
"2495","PF3D7_1014100",-0.0968063577457904,-0.341421529479798,0.0652307544763955,23281.6,17018.9666666666,21770.3833333333,0.406652283956193,1,1,1
"2496","PF3D7_1014200",0.127096776138665,0.307240476258687,-0.48666124479761,470.3875,271.36875,340.952083333333,0.793901721056298,0,0,0
"2497","PF3D7_1014300",-0.0970670783133085,-0.127429209560394,0.0151686961134127,3519.375,5035.16666666667,4483.96666666667,0.142597905673807,1,1,1
"2498","PF3D7_1014400",0.0833233357763598,-0.243225484719231,-0.129645085568287,1838.74166666666,1812.18333333333,2137.05833333334,0.326548820495591,1,1,1
"2499","PF3D7_1014500",0.15644498552954,-0.0230358593466973,-0.0314118363190171,781.066666666667,717.354166666667,773.658333333333,0.187856821848558,1,1,1
