Gene_id	l_A7	r_A7	m_A7	s_A7	l_E5	r_E5	m_E5	s_E5	l_B11	r_B11	m_B11	s_B11	MaxLeft	MinLeft	MaxRight	MinRight	MaxMid	MinMid	MaxSides	MinSides	DifLeft	DifRight	DifMid	DifSides	Interval	MaxDif	areaFC	area_A7	area_E5	area_B11	MaxArea	MinArea
PF3D7_0618200	36.1581306844333	18.7877084340575	32.8995991291471	22.0462399893436	36.2153431869132	19.2606380464998	32.0554680210117	23.4205132124014	38.7865776923633	20.3666883946801	34.72885342651	24.4244126605334	38.7865776923633	36.1581306844333	20.3666883946801	18.7877084340575	34.72885342651	32.0554680210117	24.4244126605334	22.0462399893436	2.6284470079299993	1.5789799606226005	2.6733854054983013	2.378172671189798	Mid	2.6733854054983013	0.17882176625406698	32.8995991291471	32.0554680210117	34.72885342651	34.72885342651	32.0554680210117
PF3D7_0618300	41.353427536811	19.9287450505474	33.4696951281848	27.8124774591736	42.9994282558831	24.1599025227918	37.1277155762121	30.0316152024629	43.6407259917957	22.8885228102404	38.7183830012282	27.810865800808	43.6407259917957	41.353427536811	24.1599025227918	19.9287450505474	38.7183830012282	33.4696951281848	30.0316152024629	27.810865800808	2.2872984549847004	4.231157472244401	5.248687873043394	2.220749401654899	Mid	5.248687873043394	0.35108280087246785	33.4696951281848	37.1277155762121	38.7183830012282	38.7183830012282	33.4696951281848
PF3D7_0618400	3.21563484783204	6.04635369093865	5.09563372491475	4.16635481385593	6.37162238084635	7.08868054570374	8.44067991285785	5.01962301369223	9.51665027772488	7.93693167837102	12.1388032056527	5.31477875044322	9.51665027772488	3.21563484783204	7.93693167837102	6.04635369093865	12.1388032056527	5.09563372491475	5.31477875044322	4.16635481385593	6.30101542989284	1.89057798743237	7.04316948073795	1.1484239365872897	Mid	7.04316948073795	0.4711150154339766	5.09563372491475	8.44067991285785	12.1388032056527	12.1388032056527	5.09563372491475
PF3D7_0618500	2.78135690454311	12.6024826068221	6.72709669846694	8.65674281289824	1.93713034443816	13.5667494207242	7.02884436939692	8.4750353957654	2.62117576046624	14.9695755065138	8.34022328725129	9.25052797972879	2.78135690454311	1.93713034443816	14.9695755065138	12.6024826068221	8.34022328725129	6.72709669846694	9.25052797972879	8.4750353957654	0.8442265601049499	2.3670928996917002	1.6131265887843496	0.7754925839633913	Right	2.3670928996917002	0.1583339732235251	12.6024826068221	13.5667494207242	14.9695755065138	14.9695755065138	12.6024826068221
PF3D7_0618600	16.0468719562412	29.9346943575133	28.0033496483229	17.9782166654317	18.0502410092352	30.9552241977518	27.8838064838703	21.1216587231167	18.9807650964008	30.6874006691401	30.8641437510968	18.8040220144442	18.9807650964008	16.0468719562412	30.9552241977518	29.9346943575133	30.8641437510968	27.8838064838703	21.1216587231167	17.9782166654317	2.933893140159597	1.020529840238499	2.9803372672265027	3.143442057685	Sides	3.143442057685	0.21026368278829433	17.9782166654317	21.1216587231167	18.8040220144442	21.1216587231167	17.9782166654317
PF3D7_0618700	13.7003983302576	11.7482664095866	16.5084882237807	8.94017651606346	15.5874131140615	12.8849536594922	15.9045533440688	12.5678134294849	15.606523917445	12.5680788156534	17.2436563770588	10.9309463560397	15.606523917445	13.7003983302576	12.8849536594922	11.7482664095866	17.2436563770588	15.9045533440688	12.5678134294849	8.94017651606346	1.9061255871873986	1.1366872499056004	1.3391030329900016	3.6276369134214406	Sides	3.6276369134214406	0.2426512985566181	8.94017651606346	12.5678134294849	10.9309463560397	12.5678134294849	8.94017651606346
PF3D7_0618800	54.6816541059063	63.3230086146931	69.4305236236918	48.5741390969076	56.8702628525057	64.1827963383772	70.562239004011	50.4908201868719	48.0257048265367	65.1883740219256	70.1748802602088	43.0391985882534	56.8702628525057	48.0257048265367	65.1883740219256	63.3230086146931	70.562239004011	69.4305236236918	50.4908201868719	43.0391985882534	8.844558025968993	1.8653654072324954	1.131715380319207	7.451621598618502	Left	8.844558025968993	0.5916092325062872	54.6816541059063	56.8702628525057	48.0257048265367	56.8702628525057	48.0257048265367
PF3D7_0618900	11.8969067836492	49.8320350894326	32.6923989614267	29.0365429116551	17.0433043111128	53.6625349484243	37.4179778808262	33.2878613787109	18.4929417708625	54.0532197065142	40.0109056545527	32.5352558228241	18.4929417708625	11.8969067836492	54.0532197065142	49.8320350894326	40.0109056545527	32.6923989614267	33.2878613787109	29.0365429116551	6.596034987213301	4.221184617081597	7.318506693126004	4.2513184670558	Mid	7.318506693126004	0.4895322202759869	32.6923989614267	37.4179778808262	40.0109056545527	40.0109056545527	32.6923989614267
PF3D7_0619000	12.9068264098851	9.39412599818431	12.7155394476368	9.58541296043268	13.2694645532772	10.0479804459199	14.484916676994	8.83252832220312	13.1672136985084	9.51288336764506	13.1371359748624	9.54296109129101	13.2694645532772	12.9068264098851	10.0479804459199	9.39412599818431	14.484916676994	12.7155394476368	9.58541296043268	8.83252832220312	0.36263814339209866	0.6538544477355899	1.7693772293572003	0.7528846382295615	Mid	1.7693772293572003	0.11835299193024752	12.7155394476368	14.484916676994	13.1371359748624	14.484916676994	12.7155394476368
PF3D7_0619100	17.7272960683885	7.58936323697002	12.5125875298457	12.8040717755128	19.8981883813346	8.93401931254537	13.669617284974	15.162590408906	19.2562695883793	8.47949963264997	14.1714295579062	13.564339663123	19.8981883813346	17.7272960683885	8.93401931254537	7.58936323697002	14.1714295579062	12.5125875298457	15.162590408906	12.8040717755128	2.1708923129460977	1.34465607557535	1.6588420280604996	2.358518633393201	Sides	2.358518633393201	0.15776044370523085	12.8040717755128	15.162590408906	13.564339663123	15.162590408906	12.8040717755128
