"Gene ID","source_id","sense - T05 - unique only","sense - T10 - unique only","sense - T15 - unique only","sense - T20 - unique only","sense - T25 - unique only","sense - T30 - unique only","sense - T35 - unique only","sense - T40 - unique only","antisense - T05 - unique only","antisense - T10 - unique only","antisense - T15 - unique only","antisense - T20 - unique only","antisense - T25 - unique only","antisense - T30 - unique only","antisense - T35 - unique only","antisense - T40 - unique only","sense - T05","sense - T10","sense - T15","sense - T20","sense - T25","sense - T30","sense - T35","sense - T40","antisense - T05","antisense - T10","antisense - T15","antisense - T20","antisense - T25","antisense - T30","antisense - T35","antisense - T40"
"PF3D7_1308800","PF3D7_1308800.1","24.63","7.43","2.34","4.57","27.62","65.99","136.62","144.66","3.79","0.84","0.4","0.6","8.35","19.46","17.31","17.48","20.17","6.61","2.11","4.2","25.39","61.31","129.14","127.64","3.07","0.74","0.36","0.66","7.63","18.12","16.27","15.31"
"PF3D7_1309120","PF3D7_1309120.1","2.42","13.01","19.21","33.46","18.4","18.39","14.74","12.48","1.82","0.31","0.64","0.58","0.25","0.84","1.61","3.48","1.97","11.76","17.65","30.39","16.81","17.33","13.85","10.9","4.42","1.09","0.58","0.52","0.69","1.81","2.52","4.81"
"PF3D7_1311000","PF3D7_1311000.1","7.75","21.98","33.89","32.2","29.89","25.28","11.84","4.72","0.35","0.72","0","2.35","0.29","0.32","0.93","2.7","6.57","19.4","30.62","29.25","27.31","23.47","11.13","4.13","0.57","0.64","0","2.13","0.27","0.3","0.88","2.36"
"PF3D7_1311600","PF3D7_1311600.1","78.87","74.47","80.33","76.39","53.76","45.99","38.05","75.15","0.1","0","0.16","0.05","0.17","0.09","0.04","1.21","64.08","65.82","72.57","69.43","49.24","42.73","35.77","65.62","0.12","0","0.19","0.09","0.19","0.09","0.04","1.1"
"PF3D7_1311700","PF3D7_1311700.1","12.98","82.44","136.82","156.44","153.75","141.54","81.59","22.27","0.39","0.79","0.61","1.66","0.32","1.78","0.34","2.23","10.53","72.77","123.8","142.1","140.65","131.72","76.68","19.45","0.31","0.7","0.56","1.51","0.29","1.65","0.32","1.94"
"PF3D7_1312100","PF3D7_1312100.1","24.52","6.66","1.5","0.58","3.13","15.71","51.66","88.73","0.07","0.05","0","0.07","0.02","0.09","0.19","1.4","19.96","5.9","1.44","0.52","2.91","14.61","48.63","77.53","0.06","0.04","0","0.08","0.02","0.1","0.17","1.26"
"PF3D7_1312400","PF3D7_1312400.1","0.85","0.37","0.26","0.47","6.4","13.11","10.25","5.97","0.11","0.11","0.12","0.13","0.05","0.2","0.02","1.42","0.69","0.37","0.29","0.45","5.91","12.29","9.75","5.26","0.09","0.2","0.16","0.24","0.17","0.28","0.18","1.26"
"PF3D7_1312800","PF3D7_1312800.1","128.06","38.07","7.37","2.24","10.03","33.71","58.03","134.87","0.21","0.11","0.06","0.06","0.48","0.47","0.34","1.79","104.18","33.75","6.92","2.18","9.35","31.35","54.69","117.91","0.2","0.12","0.1","0.08","0.49","0.44","0.33","1.62"
"PF3D7_1313400","PF3D7_1313400.1","17.87","6.45","3.19","14.35","36.43","53.58","42.01","39.45","0.07","0","0.08","0.07","0.25","0.21","0.03","1.43","14.52","5.79","2.96","13.03","33.4","49.8","39.48","34.57","0.12","0.07","0.14","0.1","0.23","0.22","0.06","1.28"
"PF3D7_1314400","PF3D7_1314400.1","2.77","2.58","3.73","12.96","17.61","12.52","16.05","10.38","0","0","0","0","0","0.46","0","1.69","2.25","2.28","3.61","11.77","16.09","11.84","15.3","9.06","0","0","0","0","0","0.43","0","1.48"
