Gene ID;source_id;antisense - 40-5 hours post-invasion - unique only;antisense - 2-10 hours post-invasion - unique only;antisense - 7-15 hours post-invasion - unique only;antisense - 12-20 hours post-invasion - unique only;antisense - 17-25 hours post-invasion - unique only;antisense - 22-30 hours post-invasion - unique only;antisense - 27-35 hours post-invasion - unique only;antisense - 32-40 hours post-invasion - unique only;sense - 40-5 hours post-invasion - unique only;sense - 2-10 hours post-invasion - unique only;sense - 7-15 hours post-invasion - unique only;sense - 12-20 hours post-invasion - unique only;sense - 17-25 hours post-invasion - unique only;sense - 22-30 hours post-invasion - unique only;sense - 27-35 hours post-invasion - unique only;sense - 32-40 hours post-invasion - unique only;antisense - 40-5 hours post-invasion;antisense - 2-10 hours post-invasion;antisense - 7-15 hours post-invasion;antisense - 12-20 hours post-invasion;antisense - 17-25 hours post-invasion;antisense - 22-30 hours post-invasion;antisense - 27-35 hours post-invasion;antisense - 32-40 hours post-invasion;sense - 40-5 hours post-invasion;sense - 2-10 hours post-invasion;sense - 7-15 hours post-invasion;sense - 12-20 hours post-invasion;sense - 17-25 hours post-invasion;sense - 22-30 hours post-invasion;sense - 27-35 hours post-invasion;sense - 32-40 hours post-invasion;scaled  antisense - 40-5 hours post-invasion - unique only;scaled  antisense - 2-10 hours post-invasion - unique only;scaled  antisense - 7-15 hours post-invasion - unique only;scaled  antisense - 12-20 hours post-invasion - unique only;scaled  antisense - 17-25 hours post-invasion - unique only;scaled  antisense - 22-30 hours post-invasion - unique only;scaled  antisense - 27-35 hours post-invasion - unique only;scaled  antisense - 32-40 hours post-invasion - unique only;scaled  sense - 40-5 hours post-invasion - unique only;scaled  sense - 2-10 hours post-invasion - unique only;scaled  sense - 7-15 hours post-invasion - unique only;scaled  sense - 12-20 hours post-invasion - unique only;scaled  sense - 17-25 hours post-invasion - unique only;scaled  sense - 22-30 hours post-invasion - unique only;scaled  sense - 27-35 hours post-invasion - unique only;scaled  sense - 32-40 hours post-invasion - unique only
PF3D7_0706900;PF3D7_0706900.1;0;0.79;0.91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.71;0.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.79;1.04;0;0;0;0;0;0;0;0;0;0;0;0;0
PF3D7_0708500;PF3D7_0708500.1;0.57;1.45;1.7;1.11;1.32;1.27;0.67;0.54;21.72;70.42;118.68;118.52;131.82;111.43;117.8;72.87;0.49;1.31;1.57;1;1.21;1.16;0.63;0.5;18.65;64.39;108.85;107.94;121.15;102.18;108.92;66.24;0.78;1.45;1.93;1.41;5.16;7.17;7.08;6.46;29.9;70.42;135.29;150.52;514.09;630.11;1239.35;875.87
PF3D7_1038300;PF3D7_1038300.1;0.15;1.13;3.15;1.84;3.35;2.12;2.39;1.11;0.76;0.15;0.53;0.46;0.48;0.85;1.55;1.43;0.17;1.02;2.87;1.66;3.12;1.93;2.19;1;0.63;0.14;0.54;0.41;0.49;0.77;1.46;1.44;0.21;1.13;3.59;2.34;13.07;12.01;25.1;13.33;1.04;0.15;0.61;0.58;1.87;4.8;16.29;17.25
PF3D7_1040200;PF3D7_1040200.1;0;0;0;0;0;0;0;0;0.06;0;0;0.05;0.57;1.09;0.15;0.04;0;0;0;0;0;0;0;0.04;0.05;0;0;0.04;0.52;0.99;0.14;0.04;0;0;0;0;0;0;0;0;0.08;0;0;0.06;2.24;6.17;1.58;0.47
PF3D7_1040300;PF3D7_1040300.1;0;0.05;0;0;0.06;0;0;0;0.2;0.95;0.98;0.33;3.13;1.59;0.08;0.03;0.04;0.05;0;0.03;0.05;0;0;0.03;0.25;1.04;1.1;0.33;3.07;1.61;0.07;0.2;0;0.05;0;0;0.23;0;0;0;0.27;0.95;1.12;0.42;12.2;8.97;0.85;0.38
PF3D7_1040800;PF3D7_1040800.1;0;0.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0.06;0;0.04;0;0;0;0;0;0.06;0.07;0;0;0;0;0;0;0.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PF3D7_1101200;PF3D7_1101200.1;0;0;0.06;0;0;0;0.09;0.03;0.05;0;0.12;0.08;0.12;0.06;0.09;0.03;0;0;0.06;0.04;0.11;0;0.08;0.06;0.52;0.19;0.33;0.32;0.56;0.62;0.32;0.12;0;0;0.07;0;0;0;0.91;0.4;0.07;0;0.14;0.1;0.48;0.35;0.91;0.4
PF3D7_1102900;PF3D7_1102900.1;0.09;0.18;0.91;0.59;0.81;0.82;0.28;0.5;14.51;21.89;10.5;1.56;1.63;3.92;1.64;0.61;0.07;0.16;0.83;0.59;0.84;0.75;0.33;0.5;12.14;19.74;9.56;1.41;1.49;3.57;1.5;0.55;0.12;0.18;1.04;0.74;3.17;4.66;2.99;5.99;19.98;21.89;11.97;1.99;6.34;22.15;17.21;7.33
PF3D7_1332700;PF3D7_1332700.1;0.3;0.08;0;0.09;0;0.18;0.72;1.49;28.59;79.89;100.73;81.07;100.44;85.35;67.77;27.96;0.25;0.07;0;0.08;0;0.17;0.66;1.34;23.93;72.11;91.72;73.07;91.78;77.77;62.24;25.26;0.42;0.08;0;0.11;0;1.03;7.57;17.87;39.38;79.89;114.83;102.96;391.72;482.62;712.99;336.05
PF3D7_1333200;PF3D7_1333200.1;0.28;0.52;0.55;0.29;0.21;0.44;0.5;0.34;7.11;3.64;11.05;18.09;37.69;41.19;68.38;76.93;0.24;0.47;0.52;0.26;0.2;0.4;0.48;0.34;5.98;3.29;10.11;16.33;34.45;37.54;62.86;69.55;0.39;0.52;0.62;0.37;0.84;2.46;5.27;4.15;9.79;3.64;12.6;22.97;147.01;232.93;719.44;924.67
PF3D7_1334400;PF3D7_1334400.1;0;0;0;0;0.07;0.14;0.05;0;1.02;0.24;0.14;0.09;0.64;0.5;2.13;3.67;0;0;0;0;0.13;0.2;0.05;0;0.95;0.33;0.13;0.08;0.58;0.46;1.96;3.35;0;0;0;0;0.28;0.81;0.52;0;1.4;0.24;0.16;0.12;2.49;2.84;22.42;44.08
PF3D7_1335800;PF3D7_1335800.1;0.03;0;0;0;0.04;0;0.03;0.02;6.97;1;0.32;1.91;17.09;23.74;38.99;54.53;0.03;0;0;0;0.03;0;0.02;0.02;6.01;0.96;0.33;1.72;15.65;21.66;35.86;49.28;0.04;0;0;0;0.14;0;0.27;0.24;9.6;1;0.37;2.43;66.64;134.25;410.21;655.43
PF3D7_0213200;PF3D7_0213200.1;2.77;3.57;3.78;3.88;7.09;5.61;3.87;4.24;7.3;1.19;2.23;1.22;22.82;89.24;118.55;94.99;2.32;3.22;3.44;3.49;6.48;5.11;3.55;3.83;6.23;1.07;2.03;1.1;21.01;81.28;108.93;85.89;3.82;3.57;4.31;4.92;27.65;31.73;40.72;50.97;10.06;1.19;2.54;1.55;89.01;504.64;1247.17;1141.75
PF3D7_0215600;PF3D7_0215600.1;1.42;0.84;1.67;1.29;2.17;1.49;1.45;1.27;6.47;18.77;37.94;30.27;38.86;34.72;40.12;32.82;1.19;0.84;1.67;1.16;2.04;1.36;1.36;1.15;5.49;17.27;35.04;27.68;36.5;32.28;37.28;30.51;1.96;0.84;1.91;1.64;8.48;8.41;15.2;15.31;8.91;18.77;43.26;38.44;151.56;196.35;422.06;394.52
PF3D7_0216300;PF3D7_0216300.1;0.05;0;0.13;0.04;0.14;0.1;0.24;0.37;1.58;9.17;15.31;17.32;31.27;30.85;23.64;10.56;0.04;0.02;0.14;0.05;0.15;0.15;0.26;0.41;1.4;8.47;14.07;15.82;28.8;28.39;21.87;9.78;0.07;0;0.14;0.05;0.56;0.55;2.57;4.48;2.18;9.17;17.45;22;121.95;174.47;248.75;126.89
PF3D7_0216400;PF3D7_0216400.1;0.05;0.16;0.12;0.06;0;0.06;0.19;0.18;6.18;2.22;1.66;2.16;12.48;22.17;48.43;69.92;0.04;0.21;0.22;0.05;0.03;0.11;0.25;0.25;5.22;2.05;1.62;1.98;11.46;20.28;44.55;63.28;0.07;0.16;0.14;0.07;0;0.35;2.01;2.19;8.51;2.22;1.89;2.74;48.68;125.39;509.46;840.43
