"Gene ID","source_id","pfal3D7_Stunnenberg_pi_time_series - Hour 5 - unique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 10 - unique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 15 - unique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 20 - unique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 25 - unique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 30 - unique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 35 - unique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 40 - unique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 5 - nonunique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 10 - nonunique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 15 - nonunique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 20 - nonunique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 25 - nonunique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 30 - nonunique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 35 - nonunique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 40 - nonunique (3D7 iRBC RNASeq)","scaled  - Hour 5 - unique (3D7 iRBC RNASeq)","scaled  - Hour 10 - unique (3D7 iRBC RNASeq)","scaled  - Hour 15 - unique (3D7 iRBC RNASeq)","scaled  - Hour 20 - unique (3D7 iRBC RNASeq)","scaled  - Hour 25 - unique (3D7 iRBC RNASeq)","scaled  - Hour 30 - unique (3D7 iRBC RNASeq)","scaled  - Hour 35 - unique (3D7 iRBC RNASeq)","scaled  - Hour 40 - unique (3D7 iRBC RNASeq)"
"PF3D7_0315700","PF3D7_0315700.1","4.3","3.68","4.29","2.96","3.01","4.39","4.1","2.72","3.93","3.31","3.94","2.82","2.84","4.35","3.79","2.46","0.27","0.19","0.28","0.53","1.94","3.91","4.1","1.26"
"PF3D7_0316700","PF3D7_0316700.1","13.09","7.21","8.75","16.56","24.05","51.82","104.47","174.75","11","6.27","7.85","14.83","22.03","47.19","96.09","155.73","0.83","0.37","0.56","2.98","15.48","46.23","104.47","80.99"
"PF3D7_0317300","PF3D7_0317300.1","80.05","116.61","129.07","105.56","81.55","58.97","86.58","100.02","71.94","111.36","121.95","100.61","78.65","56.88","85.28","95.94","5.07","6","8.31","19.02","52.48","52.61","86.58","46.36"
"PF3D7_0317700","PF3D7_0317700.1","24.71","67.38","90.65","72.97","59.87","68.17","81.48","57.93","24.67","67.19","91.65","74.01","61.04","71.05","85.11","57","1.56","3.47","5.83","13.15","38.53","60.82","81.48","26.85"
"PF3D7_0317800","PF3D7_0317800.1","9.92","57.17","79.88","119.18","126.24","167.88","183.39","113.78","8.46","49.86","70.57","105.93","114.55","153.44","168.96","101.65","0.63","2.94","5.14","21.47","81.24","149.77","183.39","52.73"
"PF3D7_0318100","PF3D7_0318100.1","1.96","2.87","4.38","21.48","43.16","52.22","37.99","22.12","1.88","2.57","3.94","19.46","39.19","47.81","34.94","19.79","0.12","0.15","0.28","3.87","27.78","46.59","37.99","10.25"
"PF3D7_0318600","PF3D7_0318600.1","60.75","49.44","60.51","43.4","39.68","27.85","18.61","9.78","51.22","43.09","53.68","38.76","36.2","25.39","17.22","8.8","3.85","2.55","3.89","7.82","25.54","24.84","18.61","4.53"
"PF3D7_0319200","PF3D7_0319200.1","13.86","48.63","61.15","63.41","70.2","77.18","75.29","38.83","11.78","42.52","54.42","56.42","63.92","70.49","69.42","34.67","0.88","2.5","3.94","11.43","45.17","68.85","75.29","18"
"PF3D7_0321000","PF3D7_0321000.1","43.54","130.16","170.73","190.94","167.02","193.78","185.66","112.21","36.89","113.73","150.97","170.84","152.24","177.32","171.69","100.52","2.76","6.7","10.99","34.41","107.48","172.88","185.66","52.01"
"PF3D7_0321800","PF3D7_0321800.1","56.49","58.17","66.3","57.57","51.3","40.31","44.13","41.12","47.83","50.9","58.91","51.64","46.95","37.1","41.09","37.03","3.58","2.99","4.27","10.37","33.01","35.97","44.13","19.06"
"PF3D7_0323500","PF3D7_0323500.1","267.63","109.22","88.29","103.84","98.42","100.32","120.89","91.17","225.54","95.54","78.05","92.19","89.3","91.45","111.53","81.52","16.94","5.62","5.68","18.71","63.34","89.5","120.89","42.25"
"PF3D7_0323600","PF3D7_0323600.1","3.39","7.84","13.43","21.56","27.87","35.69","36.06","25.25","2.89","6.86","11.88","19.45","25.49","32.69","33.42","22.71","0.21","0.4","0.86","3.89","17.93","31.84","36.06","11.7"
"PF3D7_0323800","PF3D7_0323800.1","12.93","42.52","75.28","72.27","39.97","51","55.48","31.58","11.67","39.98","67.2","65.64","37.13","47.48","51.5","29.27","0.82","2.19","4.84","13.02","25.72","45.5","55.48","14.64"
"PF3D7_0324100","PF3D7_0324100.1","0.15","0","0.14","0.43","2.68","1.24","0.21","0.14","2.92","3.23","15.02","54.47","187.08","67.38","14.47","3.55","0.01","0","0.01","0.08","1.72","1.11","0.21","0.06"
"PF3D7_0324700","PF3D7_0324700.1","0.08","0","0.15","0.07","0","0.08","0","0","2.24","1.22","1.93","1.42","0.95","0.71","0.52","0.31","0","0","0.01","0.01","0","0.07","0","0"
"PF3D7_0601200","PF3D7_0601200.1","1.94","1.44","7.27","16.07","37.74","12.12","1.93","1.36","7.76","7.86","31.55","96.7","333.75","111.79","22.97","7.02","0.12","0.07","0.47","2.9","24.29","10.82","1.93","0.63"
"PF3D7_0601800","PF3D7_0601800.1","0","2.44","0","0.66","2.24","0.72","0.95","1.27","0.58","2.13","0","1.18","2.54","0.65","0.87","1.13","0","0.13","0","0.12","1.44","0.64","0.95","0.59"
"PF3D7_0603000","PF3D7_0603000.1","44.76","53.17","81.9","71.68","59.07","54.07","64.9","70.8","38.21","46.89","74.21","65.94","54.71","51.5","61.21","64.49","2.83","2.74","5.27","12.92","38.01","48.23","64.9","32.82"
"PF3D7_0605000","PF3D7_0605000.1","2.33","3","2.06","3.08","22.89","56.59","41.36","21.6","2.11","2.61","1.82","2.89","21.54","51.53","38.26","19.25","0.15","0.15","0.13","0.56","14.73","50.49","41.36","10.01"
"PF3D7_0607100","PF3D7_0607100.1","0.74","0.91","2.12","1.27","0.9","1.07","1.41","1.42","1.06","1.13","2.12","1.44","1.14","1.39","1.48","1.68","0.05","0.05","0.14","0.23","0.58","0.95","1.41","0.66"
"PF3D7_0607900","PF3D7_0607900.1","4.09","4.2","2.02","3.67","22.2","46.75","42.12","18.31","3.64","3.84","2.15","3.54","20.45","43.06","39.04","16.62","0.26","0.22","0.13","0.66","14.29","41.71","42.12","8.49"
"PF3D7_0608500","PF3D7_0608500.1","36.06","87.46","181.24","298.34","433.16","552.59","604.21","675.77","30.3","76.32","159.82","264.99","392.99","503.71","555.79","602.84","2.28","4.5","11.66","53.76","278.76","492.98","604.21","313.22"
"PF3D7_0608700","PF3D7_0608700.1","34.7","111.79","184.53","246.75","353.71","312.65","201.46","102.51","29.16","97.41","162.72","219.34","321.26","285.71","185.69","91.41","2.2","5.76","11.87","44.46","227.63","278.92","201.46","47.51"
"PF3D7_0609000","PF3D7_0609000.1","32.77","66.67","93.23","96.1","95.39","66.29","75.1","61.69","27.91","58.5","82.63","85.85","87.02","60.81","69.53","55.31","2.07","3.43","6","17.32","61.39","59.14","75.1","28.59"
"PF3D7_0609200","PF3D7_0609200.1","8.42","11.75","18.98","26.6","34.55","26.08","19.71","16.43","7.39","10.34","17.18","23.87","31.54","23.89","18.18","14.89","0.53","0.6","1.22","4.79","22.24","23.27","19.71","7.62"
"PF3D7_0610500","PF3D7_0610500.1","3.39","30.76","47.27","54.17","80.41","70.09","45.41","25.47","2.85","26.76","41.68","48.09","73.1","63.82","41.77","22.7","0.21","1.58","3.04","9.76","51.75","62.53","45.41","11.81"
"PF3D7_0611400","PF3D7_0611400.1","13.44","23.51","33.53","30.84","35.08","33.37","38.42","40.54","11.44","20.48","29.71","27.6","32.02","30.55","35.52","36.16","0.85","1.21","2.16","5.56","22.57","29.77","38.42","18.79"
"PF3D7_0611900","PF3D7_0611900.1","11.87","8.17","13.06","33.04","107.88","146.7","131.98","106.34","10.14","7.11","11.68","29.33","98.09","133.95","121.63","94.93","0.75","0.42","0.84","5.95","69.43","130.88","131.98","49.29"
"PF3D7_0613500","PF3D7_0613500.1","6.93","4.35","11.05","19.45","32.62","37.81","47.63","37.31","6.49","4.59","11.07","18.68","31.59","36.21","46.38","36.69","0.44","0.22","0.71","3.51","20.99","33.73","47.63","17.29"
"PF3D7_0616300","PF3D7_0616300.1","15.05","26.04","40.69","46.31","56.25","67.23","67.61","50.93","12.65","22.77","35.88","41.77","51.21","61.36","62.37","45.89","0.95","1.34","2.62","8.35","36.2","59.97","67.61","23.61"
"PF3D7_0616900","PF3D7_0616900.1","11.89","35.83","46.87","49.19","55.49","53.42","52.47","32.43","10.57","31.5","41.67","44.41","51.08","49.26","48.84","29.27","0.75","1.84","3.02","8.86","35.71","47.65","52.47","15.03"
"PF3D7_0618400","PF3D7_0618400.1","0.58","0.62","0.39","0.45","0.28","0.84","0.8","1.17","0.64","0.63","0.49","0.54","0.43","0.93","0.84","1.14","0.04","0.03","0.03","0.08","0.18","0.75","0.8","0.54"
"PF3D7_0618800","PF3D7_0618800.1","2.08","1.23","1.4","3.32","20.9","34.38","32.02","21.21","1.95","1.41","1.55","3.35","19.39","31.72","29.84","19.2","0.13","0.06","0.09","0.6","13.45","30.67","32.02","9.83"
"PF3D7_0619400","PF3D7_0619400.1","36.2","71.58","120.16","163.86","226.83","279.86","307.98","409.2","30.63","62.44","106.17","145.79","205.93","255.1","283.52","364.81","2.29","3.69","7.73","29.53","145.97","249.67","307.98","189.66"
"PF3D7_0619500","PF3D7_0619500.1","1.68","6.85","17.14","28.19","33.99","31.72","29.53","17.41","1.56","6.09","15.29","25.17","30.9","29.35","27.44","15.68","0.11","0.35","1.1","5.08","21.87","28.29","29.53","8.07"
"PF3D7_0619700","PF3D7_0619700.1","17.18","8.35","3.54","3.06","5.03","10.58","46.14","106.07","14.57","7.43","3.21","2.95","4.93","9.79","42.71","95.03","1.09","0.43","0.23","0.55","3.24","9.44","46.14","49.16"
"PF3D7_0619900","PF3D7_0619900.1","42.65","50.74","50.38","59.69","65.19","56.87","58.12","66.81","35.97","44.38","44.43","53.25","59.2","51.92","53.55","59.66","2.7","2.61","3.24","10.76","41.95","50.74","58.12","30.96"
"PF3D7_0620700","PF3D7_0620700.1","19.39","4.75","4.61","2.39","4.67","13.11","31.75","56.07","16.29","4.13","4.31","2.29","4.3","12.12","29.38","50.13","1.23","0.24","0.3","0.43","3","11.7","31.75","25.99"
"PF3D7_0621100","PF3D7_0621100.1","37.42","9.49","2.82","1.8","1.69","5.35","13.33","72.38","31.58","8.37","2.59","1.8","1.59","4.9","12.36","64.63","2.37","0.49","0.18","0.32","1.09","4.77","13.33","33.55"
"PF3D7_0621350","PF3D7_0621350.1","15.37","10.62","10.6","10.82","5.28","2.34","1.54","2.52","12.91","9.24","9.35","9.82","5.16","2.13","1.42","2.25","0.97","0.55","0.68","1.95","3.4","2.08","1.54","1.17"
"PF3D7_0621900","PF3D7_0621900.1","50.93","76.8","97.55","92.64","90.78","93.53","99.77","72.47","51.43","79.74","101","99.96","94.91","100.63","110.88","77.13","3.22","3.95","6.28","16.69","58.42","83.44","99.77","33.59"
"PF3D7_0622000","PF3D7_0622000.1","7.56","6.64","9.91","7.69","13.66","13.88","15.01","20.37","6.36","5.78","8.74","6.82","12.38","12.8","13.91","18.29","0.48","0.34","0.64","1.39","8.79","12.39","15.01","9.44"
"PF3D7_0622300","PF3D7_0622300.1","1.64","1.77","1.89","1.88","4.47","15.33","14.52","6.65","1.73","1.6","1.98","1.99","4.23","14.39","13.54","5.92","0.1","0.09","0.12","0.34","2.87","13.68","14.52","3.08"
"PF3D7_0624100","PF3D7_0624100.1","8.34","2.59","1.84","6.24","11.8","30.38","53.67","68.13","7.22","2.75","1.62","6.09","11.54","29.11","52.41","63.42","0.53","0.13","0.12","1.12","7.59","27.11","53.67","31.58"
"PF3D7_0624200","PF3D7_0624200.1","16.59","6.84","6.86","18.76","52.94","85.1","114.21","138.06","14.28","6.34","6.48","17.09","48.67","78.45","107.55","125.53","1.05","0.35","0.44","3.38","34.07","75.92","114.21","63.99"
"PF3D7_0625200","PF3D7_0625200.1","19.69","6.93","3.47","3.81","13.61","31.86","60.02","86.37","16.62","6.17","3.44","3.61","12.6","29.01","55.72","77.19","1.25","0.36","0.22","0.69","8.76","28.42","60.02","40.03"
"PF3D7_0626000","PF3D7_0626000.1","8.85","25.32","46.19","43.11","32.44","27.36","26.8","15","7.61","22.3","41.07","38.83","29.65","25.15","24.93","13.5","0.56","1.3","2.97","7.77","20.88","24.41","26.8","6.95"
"PF3D7_0626400","PF3D7_0626400.1","15.43","5.6","2.97","1.73","2.36","15.64","32.09","48.1","14.23","4.98","2.85","1.74","2.38","15.15","31.84","44.76","0.98","0.29","0.19","0.31","1.52","13.95","32.09","22.29"
"PF3D7_0626800","PF3D7_0626800.1","173.86","544.69","848.21","1102.16","1349.46","1705.89","1317.99","977.65","146.22","474.38","748.55","979.18","1224.36","1554.13","1212.69","871.71","11.01","28.04","54.59","198.6","868.43","1521.88","1317.99","453.13"
"PF3D7_0627900","PF3D7_0627900.1","23.27","23.6","22.25","24.6","31.15","37.18","36.04","26.33","19.55","20.9","19.62","21.84","28.5","33.96","33.22","23.56","1.47","1.21","1.43","4.43","20.05","33.17","36.04","12.2"
"PF3D7_0628000","PF3D7_0628000.1","3.22","2.65","1.35","1.92","18.51","26.53","10.83","6.42","2.71","2.31","1.36","1.7","17.22","24.16","9.96","5.88","0.2","0.14","0.09","0.35","11.91","23.67","10.83","2.97"
"PF3D7_0628200","PF3D7_0628200.1","76.12","143.49","189.69","161.16","128.82","109.11","137.47","116.6","71.07","153.08","185.45","161.16","131.28","112.32","149.39","126.23","4.82","7.39","12.21","29.04","82.9","97.34","137.47","54.04"
"PF3D7_0628900","PF3D7_0628900.1","1.16","1.36","0.63","3.03","15.37","23.74","16.88","7.63","1.16","1.41","0.84","2.82","14.25","21.89","15.71","7.15","0.07","0.07","0.04","0.55","9.89","21.18","16.88","3.54"
"PF3D7_0629400","PF3D7_0629400.1","4.35","3.27","2.74","13.39","65.43","99.56","79.16","39.58","3.77","2.95","2.69","12.08","59.57","90.86","73.23","35.6","0.28","0.17","0.18","2.41","42.11","88.82","79.16","18.35"
"PF3D7_0629600","PF3D7_0629600.1","63.98","42.71","59.52","66.96","57.47","52.43","28.82","13.25","53.87","37.47","53.05","59.45","52.49","48.12","26.93","11.92","4.05","2.2","3.83","12.07","36.99","46.78","28.82","6.14"
"PF3D7_0629700","PF3D7_0629700.1","54.78","75.32","83.11","70.09","71.43","73.31","127.6","103.41","46.42","65.9","73.8","62.62","65.15","67.2","117.9","92.51","3.47","3.88","5.35","12.63","45.97","65.41","127.6","47.93"
"PF3D7_0630100","PF3D7_0630100.1","26.03","8.58","5.34","8.03","11.96","6.49","5.38","4.56","22.18","7.66","4.97","7.39","10.99","6.2","5.34","4.57","1.65","0.44","0.34","1.45","7.69","5.79","5.38","2.12"
"PF3D7_0630500","PF3D7_0630500.1","11.86","26.51","46.65","52.57","75.74","53.77","24.82","9.53","10.08","23.12","41.37","46.79","68.92","49.09","23","8.66","0.75","1.36","3","9.47","48.74","47.97","24.82","4.42"
"PF3D7_0630800","PF3D7_0630800.1","10.72","13.89","10","6.48","5.12","4.23","6.33","12.94","9.31","12.43","8.97","5.98","4.96","4.44","6.33","11.75","0.68","0.72","0.64","1.17","3.29","3.78","6.33","6"
"PF3D7_0632300","PF3D7_0632300.1","0","0.34","0","0","0.08","0","0","0","0.33","0.45","0.08","0.08","0.28","0.09","0.06","0.32","0","0.02","0","0","0.05","0","0","0"
"PF3D7_0632500","PF3D7_0632500.1","0.89","2.61","4.19","3.09","0.71","0.63","0.48","0.57","3.21","3.32","4.32","3.65","2.29","2.04","1.63","3.49","0.06","0.13","0.27","0.56","0.46","0.56","0.48","0.27"
"PF3D7_0500100","PF3D7_0500100.1","6.49","2.84","1.35","2.36","6.91","3.95","5.51","13.7","9.6","4.41","3.08","4.22","11.13","6.26","9.64","22.89","0.41","0.15","0.09","0.43","4.45","3.53","5.51","6.35"
"PF3D7_0501000","PF3D7_0501000.1","36.76","233.24","633.69","1030.53","1430.97","833.77","382.96","122.97","30.89","203.04","559.83","915.92","1298.27","760.19","352.47","109.8","2.33","12.01","40.78","185.69","920.88","743.83","382.96","56.99"
"PF3D7_0501900","PF3D7_0501900.1","4.22","11.52","18.94","21.34","26.55","27.19","43.97","48.02","3.54","10.09","16.78","19.26","24.2","24.84","40.56","42.94","0.27","0.59","1.22","3.85","17.08","24.26","43.97","22.26"
"PF3D7_0502900","PF3D7_0502900.1","34.6","24.46","34.7","70.46","167.44","230.29","192.04","173.35","29.07","22.25","30.6","62.55","151.79","209.69","176.62","154.49","2.19","1.26","2.23","12.7","107.75","205.45","192.04","80.35"
"PF3D7_0503400","PF3D7_0503400.1","2820","768.28","111.65","49.45","259.73","815.71","1199.64","2304.27","2374.97","668.88","98.45","44.14","235.87","743.54","1105.12","2054.92","178.5","39.55","7.18","8.91","167.15","727.72","1199.64","1068.01"
"PF3D7_0503500","PF3D7_0503500.1","6.25","3.61","8.62","11.15","13.41","10.51","9.2","15.93","5.33","3.37","7.71","10.04","12.19","9.61","8.56","14.2","0.4","0.19","0.55","2.01","8.63","9.38","9.2","7.38"
"PF3D7_0504300","PF3D7_0504300.1","5.45","1.5","1.79","3.27","8.03","13.95","18.77","18.29","5.1","1.55","1.84","3.16","8.31","13.72","19.21","17.31","0.34","0.08","0.11","0.59","5.17","12.44","18.77","8.48"
"PF3D7_0504900","PF3D7_0504900.1","24.49","31.65","36.59","29.75","30.04","54.2","159.3","189.39","20.75","27.54","32.44","26.75","27.23","49.54","146.89","169.6","1.55","1.63","2.35","5.36","19.33","48.35","159.3","87.78"
"PF3D7_0506800","PF3D7_0506800.1","27.41","69.2","102.75","101.33","78.7","75.74","83.82","64.87","23.64","60.32","90.99","90.4","71.95","69.49","77.49","58.33","1.74","3.56","6.61","18.26","50.64","67.57","83.82","30.07"
"PF3D7_0507400","PF3D7_0507400.1","302.66","50.34","6.31","1.95","0.18","1.87","5.27","34.8","254.33","43.8","5.75","1.73","0.5","1.92","5.13","31.2","19.16","2.59","0.41","0.35","0.12","1.67","5.27","16.13"
"PF3D7_0507500","PF3D7_0507500.1","508.51","123.58","17.16","5.48","3.36","3.04","3.32","45.52","428.12","107.99","15.18","5.3","3.34","3.1","3.41","40.93","32.19","6.36","1.1","0.99","2.16","2.71","3.32","21.1"
"PF3D7_0508600","PF3D7_0508600.1","33.55","45.38","58.2","46.38","40.17","45.39","44","74.48","29.09","40.5","52.67","42.3","37.39","41.58","41.8","67.02","2.12","2.34","3.75","8.36","25.85","40.49","44","34.52"
"PF3D7_0508700","PF3D7_0508700.1","51.15","80.54","100.19","106.82","114.14","95.28","120.47","91.24","43.68","70.6","89.1","95.61","104.31","87.5","111.36","81.98","3.24","4.15","6.45","19.25","73.46","85","120.47","42.29"
"PF3D7_0509700","PF3D7_0509700.1","4.24","2.72","1.95","2.11","3.71","12.66","11.33","5.8","3.86","2.64","1.86","2.1","3.49","11.94","10.92","5.31","0.27","0.14","0.13","0.38","2.39","11.29","11.33","2.69"
"PF3D7_0510200","PF3D7_0510200.1","14.23","21.63","27.99","30.07","35.8","40.26","39.68","45.3","12.2","18.89","24.68","26.85","32.49","36.75","36.64","40.56","0.9","1.11","1.8","5.42","23.04","35.92","39.68","20.99"
"PF3D7_0510400","PF3D7_0510400.1","3.9","13.35","18.65","16.86","19.13","22.21","13.67","4.64","3.41","11.62","16.58","15.17","17.75","20.37","12.72","4.33","0.25","0.69","1.2","3.04","12.31","19.82","13.67","2.15"
"PF3D7_0511200","PF3D7_0511200.1","13.23","5.08","4.09","2.39","4.28","32.53","103.15","154.04","11.18","4.56","3.82","2.44","3.99","30.04","95.27","137.55","0.84","0.26","0.26","0.43","2.76","29.02","103.15","71.4"
"PF3D7_0511800","PF3D7_0511800.1","41.68","87.45","136.74","158.19","163.97","227.24","291.77","302.95","35.12","76.35","120.78","140.73","148.86","207.45","268.6","270.08","2.64","4.5","8.8","28.5","105.52","202.73","291.77","140.41"
"PF3D7_0512450","PF3D7_0512450.1","0.31","0.48","0.22","0.22","1.07","2.48","1.64","0.71","0.52","0.71","0.33","0.59","1.19","2.55","1.66","0.95","0.02","0.02","0.01","0.04","0.69","2.22","1.64","0.33"
"PF3D7_0512700","PF3D7_0512700.1","4.1","24.76","90.39","175.38","243.1","222.66","114.74","44.91","3.76","21.64","80.23","155.91","220.83","202.85","106.15","40.23","0.26","1.27","5.82","31.6","156.45","198.64","114.74","20.82"
"PF3D7_0513400","PF3D7_0513400.1","3.42","3.22","10.27","15.49","24.61","30.16","20.37","14.78","2.87","3.08","9.26","14.16","22.57","27.69","19.04","13.37","0.22","0.17","0.66","2.79","15.83","26.91","20.37","6.85"
"PF3D7_0514900","PF3D7_0514900.1","9.89","19.69","26.32","27.1","25.09","25.22","32.01","37.43","8.38","17.5","23.75","24.6","23.04","23.41","29.99","33.61","0.63","1.01","1.69","4.88","16.15","22.5","32.01","17.35"
"PF3D7_0516000","PF3D7_0516000.1","9.33","4.25","3.27","13.3","45.61","56.94","30.77","10.29","9.71","11.86","12.49","21.68","49.42","62.08","35.66","11.92","0.59","0.22","0.21","2.4","29.35","50.8","30.77","4.77"
"PF3D7_0516300","PF3D7_0516300.1","4.26","17.32","30.89","39.64","53.1","35.64","18.93","10.71","3.71","15.15","27.54","35.5","48.47","32.6","17.79","9.76","0.27","0.89","1.99","7.14","34.17","31.8","18.93","4.97"
"PF3D7_0517500","PF3D7_0517500.1","2.51","3.45","4.24","3.11","2.7","1.81","1","0.88","2.49","3.19","4.05","3.15","3.06","2","1.28","0.85","0.16","0.18","0.27","0.56","1.74","1.61","1","0.41"
"PF3D7_0518700","PF3D7_0518700.1","2.35","7.22","13.33","11.06","9.2","11.04","9.32","5.47","2.7","7.1","13.37","11.15","9.39","11.16","9.64","5.58","0.15","0.37","0.86","1.99","5.92","9.85","9.32","2.54"
"PF3D7_0518900","PF3D7_0518900.1","4.85","1.26","0","0.34","0.72","1.48","1.47","0.65","4.07","1.1","0","0.3","0.66","1.35","1.58","0.58","0.31","0.06","0","0.06","0.47","1.32","1.47","0.3"
"PF3D7_0519500","PF3D7_0519500.1","10.05","8.74","20.04","64.15","99.2","100.88","93.55","47.35","8.82","7.89","18.24","57.74","90.96","93.2","87.23","42.92","0.64","0.45","1.29","11.56","63.84","90","93.55","21.95"
"PF3D7_0519700","PF3D7_0519700.1","378.31","433.21","548.05","516.66","452.39","374.29","391.05","343","318.21","377.19","484.05","459.14","410.37","341.32","360.22","305.97","23.95","22.3","35.27","93.1","291.13","333.91","391.05","158.98"
"PF3D7_0520400","PF3D7_0520400.1","2.55","4.07","6.65","10.51","32.92","53.74","67.63","55.14","2.24","3.72","5.97","9.33","30.02","48.93","62.28","49.24","0.16","0.21","0.43","1.89","21.19","47.94","67.63","25.56"
"PF3D7_0520900","PF3D7_0520900.1","87.47","194.31","234.67","277.01","355.97","608.22","505.45","557.57","73.75","169.39","207.06","246.05","323.33","554.36","465.24","497.31","5.54","10","15.1","49.91","229.08","542.61","505.45","258.43"
"PF3D7_0521700","PF3D7_0521700.1","3.99","8.44","11.26","12.46","11.07","9.64","8.59","6.33","3.46","7.47","10.03","11.35","10.1","9.05","8.05","5.77","0.25","0.43","0.72","2.25","7.12","8.6","8.59","2.93"
"PF3D7_0522800","PF3D7_0522800.1","26.03","68.8","112.25","99.12","115.28","97.72","84","44.62","21.87","59.86","98.99","88","104.67","88.97","77.4","39.77","1.65","3.54","7.22","17.86","74.19","87.18","84","20.68"
"PF3D7_0525500","PF3D7_0525500.1","6.54","19.97","30.62","32.18","30.07","18.63","12.84","4.74","7.23","19","30.63","32.72","30.07","18.57","13.23","4.93","0.41","1.03","1.97","5.8","19.35","16.62","12.84","2.2"
"PF3D7_0525700","PF3D7_0525700.1","124.16","27.03","5.84","3.8","9.42","28.69","41.76","87.01","104.55","23.72","5.15","3.6","8.92","26.37","38.57","77.76","7.86","1.39","0.38","0.68","6.06","25.59","41.76","40.33"
"PF3D7_0526200","PF3D7_0526200.1","26.32","6.37","3.04","6.72","24.4","49.65","71.91","102.69","22.81","5.65","2.85","6.2","22.32","45.53","66.49","91.91","1.67","0.33","0.2","1.21","15.7","44.3","71.91","47.6"
"PF3D7_0526200","PF3D7_0526200.2","26.32","6.37","3.04","6.72","24.4","49.65","71.91","102.69","22.81","5.65","2.85","6.2","22.32","45.53","66.49","91.91","1.67","0.33","0.2","1.21","15.7","44.3","71.91","47.6"
"PF3D7_0526300","PF3D7_0526300.1","23.02","49.94","65.64","60.13","42.72","30.39","28.65","27.47","19.62","43.78","58.25","54.21","38.8","28.28","26.75","24.75","1.46","2.57","4.22","10.83","27.49","27.11","28.65","12.73"
"PF3D7_0526600","PF3D7_0526600.1","1.6","1.4","0.86","1.15","4.8","8.42","8.27","4.69","1.89","1.72","1.1","1.25","6.04","10.23","10.33","5.11","0.1","0.07","0.06","0.21","3.09","7.52","8.27","2.17"
"PF3D7_0527200","PF3D7_0527200.1","61.6","88.12","131.66","171.71","235.53","287.92","281.68","289.13","52.1","77.02","116.58","153.23","214.1","263.74","260.3","258.14","3.9","4.54","8.47","30.94","151.57","256.86","281.68","134.01"
"PF3D7_0527700","PF3D7_0527700.1","0","0","0","0","0","0","0.98","0","0","0","0","1.22","0","0","0.9","0","0","0","0","0","0","0","0.98","0"
"PF3D7_0527800","PF3D7_0527800.1","0","1.11","0","2.42","2.04","0","1.72","0","0","1.93","0","2.14","1.85","0","1.59","0","0","0.06","0","0.44","1.31","0","1.72","0"
"PF3D7_0528100","PF3D7_0528100.1","43.26","52","53.81","52.03","58.23","60.07","67.99","81.13","36.42","45.27","47.54","46.25","53.11","54.73","62.7","72.48","2.74","2.68","3.46","9.38","37.47","53.59","67.99","37.6"
"PF3D7_0528500","PF3D7_0528500.1","14.89","14.58","7.72","8.68","12.93","20.96","39.05","61.42","19.97","22.77","15.82","16.47","22.53","32.84","49.16","67.2","0.94","0.75","0.5","1.56","8.32","18.7","39.05","28.47"
"PF3D7_0528600","PF3D7_0528600.1","124.22","152.94","138.4","156.68","181.21","185.77","215.42","140.55","126.31","162.86","148.52","164.57","194.95","207.87","236.22","160.4","7.86","7.87","8.91","28.23","116.61","165.73","215.42","65.15"
"PF3D7_0528700","PF3D7_0528700.1","42.02","78.48","98.85","92.91","84.33","85.32","81.83","75.63","35.31","68.28","87.17","82.63","76.57","77.69","75.26","67.4","2.66","4.04","6.36","16.74","54.27","76.12","81.83","35.06"
"PF3D7_0529200","PF3D7_0529200.1","2.62","1.96","0.98","1.22","5.09","11.23","10.78","6.51","2.25","1.71","0.97","1.19","4.76","10.53","10.15","5.9","0.17","0.1","0.06","0.22","3.28","10.02","10.78","3.02"
"PF3D7_0529400","PF3D7_0529400.1","50.44","16.77","8.1","13.26","32.03","58.35","125.05","232.33","42.61","14.76","7.33","11.98","29.28","53.29","115.48","207.43","3.19","0.86","0.52","2.39","20.61","52.05","125.05","107.68"
