"Gene ID","source_id","pfal3D7_Stunnenberg_pi_time_series - Hour 5 - unique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 10 - unique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 15 - unique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 20 - unique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 25 - unique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 30 - unique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 35 - unique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 40 - unique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 5 - nonunique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 10 - nonunique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 15 - nonunique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 20 - nonunique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 25 - nonunique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 30 - nonunique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 35 - nonunique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 40 - nonunique (3D7 iRBC RNASeq)","scaled  - Hour 5 - unique (3D7 iRBC RNASeq)","scaled  - Hour 10 - unique (3D7 iRBC RNASeq)","scaled  - Hour 15 - unique (3D7 iRBC RNASeq)","scaled  - Hour 20 - unique (3D7 iRBC RNASeq)","scaled  - Hour 25 - unique (3D7 iRBC RNASeq)","scaled  - Hour 30 - unique (3D7 iRBC RNASeq)","scaled  - Hour 35 - unique (3D7 iRBC RNASeq)","scaled  - Hour 40 - unique (3D7 iRBC RNASeq)"
"PF3D7_0108700","PF3D7_0108700.1","23.39","48.74","64.66","79.85","72.52","86.96","123.55","108.52","20.26","43.04","57.79","71.74","66.34","79.95","114.64","97.6","1.48","2.51","4.16","14.39","46.67","77.58","123.55","50.3"
"PF3D7_0109100","PF3D7_0109100.1","45.29","10.36","4.29","2.3","0.99","1.4","0.97","3.81","38.28","9.35","3.81","2.13","1.07","1.43","0.96","3.48","2.87","0.53","0.28","0.42","0.64","1.25","0.97","1.77"
"PF3D7_0109400","PF3D7_0109400.1","30.41","30.58","27.88","81.44","217.86","298.88","190.17","72.21","25.55","26.6","24.76","72.3","197.95","272.34","175.04","64.35","1.92","1.57","1.79","14.67","140.2","266.64","190.17","33.47"
"PF3D7_0109950","PF3D7_0109950.1","8.96","7.14","10.57","14.52","30.6","55.17","63.06","62.29","8.41","7.01","9.85","13.42","28.35","51.41","58.39","55.85","0.57","0.37","0.68","2.62","19.69","49.22","63.06","28.87"
"PF3D7_0111400","PF3D7_0111400.1","5.94","4.75","4.61","7.72","36.65","71.88","96.61","73.88","5.28","4.32","4.35","7.22","33.66","65.77","89.46","66.16","0.38","0.24","0.3","1.39","23.59","64.13","96.61","34.24"
"PF3D7_0111600","PF3D7_0111600.1","2.25","11.37","34.44","47.11","44.81","48.09","49.93","31.52","2.25","9.89","30.48","41.82","40.83","44.18","46.18","28.2","0.14","0.59","2.22","8.49","28.84","42.9","49.93","14.61"
"PF3D7_0111900","PF3D7_0111900.1","22.63","29.64","44.93","77.02","167.07","241.9","300.59","293.35","19.38","25.78","39.62","68.38","151.45","220.26","276.73","261.78","1.43","1.53","2.89","13.88","107.52","215.8","300.59","135.97"
"PF3D7_0113300","PF3D7_0113300.1","88.06","138.14","132.14","59.12","14.24","11.71","9.59","4.69","74.3","120.51","117.54","52.64","13.04","10.89","9","4.28","5.57","7.11","8.5","10.65","9.17","10.45","9.59","2.17"
"PF3D7_0113400","PF3D7_0113400.1","2.68","8.9","14.73","14.54","19.35","13.61","10.38","7.9","2.59","8.67","13.47","13.32","18.37","12.92","10.01","7.44","0.17","0.46","0.95","2.62","12.46","12.14","10.38","3.66"
"PF3D7_0113900","PF3D7_0113900.1","86.25","203.23","190.26","73.13","20.14","12.12","14.18","17.52","72.6","177.04","168.02","64.93","18.47","11.17","13.22","15.73","5.46","10.46","12.24","13.18","12.96","10.81","14.18","8.12"
