Gene_id	A7_tp10	A7_tp20	A7_tp30	A7_tp37	A7_tp40	A7_tp43	Red_A7	E5_tp10	E5_tp20	E5_tp30	E5_tp37	E5_tp40	E5_tp43	Red_E5	B11_tp10	B11_tp20	B11_tp30	B11_tp37	B11_tp40	B11_tp43	Red_B11	Percent_A7	Percent_E5	Percent_B11	MaxRedPercentDif	MeanRedPercent	MaxRedPercent
PF3D7_1420000	5674.69651295539	4086.5964927147566	4380.3456786504285	2711.9960674202553	2306.3101928730457	2213.7077493110887	5027.521095802909	6592.574131875414	6036.582115169233	3801.2049800986097	2886.2101298481853	2732.7750580725196	2378.660976106929	6314.578123522324	7184.6194087589965	4938.058157859523	3332.285524491755	2784.512066656949	1545.7181711279231	2904.437816941416	6061.33878330926	76.63451232583066	80.54662379421221	79.5998570918185	3.9121114683815534	78.92699773728712	80.54662379421221
PF3D7_1420100	302.6684629428408	191.2486000000006	424.42296022899967	1244.877262488614	1048.6907852891788	1484.6438974267642	1364.760579957689	224.2092703190137	371.5013358323747	519.4719144961014	963.0686000000003	1478.4859515118821	907.7580992611171	1220.7772757559412	375.3454538962194	466.1160561751306	513.663480808804	987.291199943669	1270.3921998413475	1273.6483213319564	1272.020260586652	30.296534476598787	24.65166130760986	26.777420507324045	5.644873168988926	27.241872097177563	30.296534476598787
PF3D7_1420200	598.5147618034831	1029.3811848125838	1724.161368446697	6733.292886486456	8161.9809693963825	7536.760846560935	7849.370907978659	706.9358167665407	1461.1375942104519	1988.3413145394334	6690.123964246448	7980.659559047273	8461.214061192473	8220.936810119874	585.5618725802103	1749.2042293790805	3246.7186007599585	8772.697891150152	7047.136786688534	9072.116360459835	8922.407125804993	85.90568060021437	85.38763844230081	87.40621650589496	2.0185780635941484	86.23317851613672	87.40621650589496
PF3D7_1420300	1462.8119999999726	1026.3860000000054	381.73340000000115	681.2794000000015	1190.1480000000188	1733.0099999999973	1597.910999999985	1568.4080000000042	1835.7679999999418	376.07190000000116	757.2264999999985	1457.9190000000212	2247.1739999999736	2041.4709999999577	1635.61399999999	1204.4310000000148	296.7467999999988	1765.091000000029	1328.0120000000027	2194.1570000000766	1979.6240000000528	34.994640943194	40.032154340836016	39.67488388710254	5.037513397642016	38.233893057044185	40.032154340836016
PF3D7_1420400	3211.7569999999837	3274.1820000000594	4068.9763398422347	1819.6700000000287	1237.0490000000257	1486.3969999999604	3671.579169921147	3237.982999999905	4658.580999999925	3504.747556986011	2134.999670893605	1660.408107544301	1293.6959999999763	4081.664278492968	4272.035999999975	5424.680000000184	3370.6459999999493	2183.847191779714	1148.5279999999718	2019.9159999999833	4848.358000000079	67.14898177920686	67.64916041443372	73.95498392282958	6.80600214362272	69.58437537215673	73.95498392282958
PF3D7_1420500	48.520935268850934	47.74565259325762	140.82910538373307	167.9034791647186	201.12201615546053	233.0829626600977	217.1024894077791	175.77242765259328	89.717969909651	97.7499518722933	155.68114620372663	186.64198708843549	161.26925557459168	181.20720737051437	93.99494121757594	105.26581516642389	130.84529124411762	132.80764093274144	165.98910398089384	174.80367839807866	170.39639118948625	7.288317256162916	5.841371918542337	6.627366916755985	1.446945337620579	6.585685363820413	7.288317256162916
PF3D7_1420600	940.990302475006	2725.7063714890496	3863.500714694042	3407.348593587406	2235.3349958064646	1668.6812621258316	3635.4246541407238	960.0275479323511	3882.50133465755	3724.7436969487976	2906.3822405527108	2907.066608055326	2100.0016075434255	3803.622515803174	971.1808536776241	4334.120901346611	5315.310876774204	2508.336458521814	1497.116539563979	2059.6684932678095	4824.715889060408	66.89889246159343	65.09467667023937	73.7406216505895	8.645944980350137	68.57806359414077	73.7406216505895
PF3D7_1420700	12925.110000000188	15311.780000000117	15580.98000000046	6792.368812075302	8208.106175099714	13479.708464435564	15446.380000000288	13343.260000000111	20719.910000000113	15203.429999999762	7206.682999999908	6591.710418163267	17241.184718003788	18980.54735900195	15645.060000000418	16912.839999999593	11249.41232059017	9798.93699999983	10140.270000000144	18534.142381611324	17723.491190805456	94.42658092175778	95.40907466952483	95.0875312611647	0.9824937477670517	94.97439561748243	95.40907466952483
PF3D7_1420800	29.224179999999993	16.057679999999962	40.07631000000005	69.10284000000011	110.82469999999971	88.07585000000007	99.45027499999989	66.87475000000005	54.56654000000017	45.71031000000009	93.27862999999986	117.62719999999997	60.632670000000104	105.45291499999992	53.02206000000002	56.54051000000005	76.6146899999998	171.6000999999995	62.48323999999995	90.93045000000028	131.2652749999999	3.8227938549481957	3.4655234012147194	5.430510896748839	1.9649874955341193	4.239609384303918	5.430510896748839
PF3D7_1420900	622.239036884959	687.7869413028423	1544.3603234203656	3024.8929264521835	4107.4603891733495	2893.725092066026	3566.1766578127663	802.7407057525496	953.5142171692029	1749.7132395075248	2812.0536313563775	4017.360696091366	3037.6847545244154	3527.522725307891	873.5810700921811	1232.167798066508	2705.9767134975996	3493.9362571289134	2467.119973672873	2327.791830574263	3099.9564853132565	66.11289746337978	62.21864951768489	58.09217577706324	8.020721686316541	62.14124091937597	66.11289746337978
PF3D7_1421000	1693.7030000000532	1182.126000000009	1548.8230000000106	1435.128000000009	1962.1020000000256	1506.6899999999957	1827.9025000000393	1799.0100000000236	1819.6070000000157	1561.8920000000269	1728.807999999952	1711.755000000043	1262.4329999999593	1809.3085000000196	2821.0610000000547	1410.7480000000226	1825.5000000000186	1647.0880000000554	980.1436000000027	1355.1399999999603	2323.2805000000367	39.92497320471597	35.65559128260093	46.40943193997856	10.75384065737763	40.66333214243182	46.40943193997856
PF3D7_1421100	852.008053446718	536.4893182424228	1047.3361655125364	787.0211150674437	928.1292132988073	1914.9286266518338	1481.132396082185	803.0014879643771	748.6487967102338	1115.1836142817613	774.0442370704808	949.3150177821218	1966.8934981278917	1541.0385562048264	694.4654113335658	928.5225561916083	887.6475824679715	975.9875478684678	997.5283531432074	2167.505741583854	1582.5170473635308	32.493747767059666	30.439442658092176	32.13647731332619	2.0543051089674904	31.689889246159343	32.493747767059666
PF3D7_1421150	6195.772000000161	9793.41300000034	14639.630000000503	16379.859999999653	48367.59999999983	34782.21999999919	41574.90999999951	11109.15999999996	18174.300000000323	12266.000000000082	19628.57999999976	42178.14000000034	23881.42000000021	33029.780000000275	7518.144999999823	13309.080000000313	17456.839999999953	33940.490000000274	33656.14000000002	28068.090000000833	33798.31500000015	98.89246159342623	98.28510182207931	98.39228295819936	0.6073597713469212	98.5232821245683	98.89246159342623
PF3D7_1421200	9514.689999999737	15271.940000000202	17741.419999999493	6519.439000000127	4862.983999999874	3599.662000000059	16506.679999999847	11138.660000000213	18199.25999999956	14385.959999999674	8107.115999999769	4389.938999999847	3457.442000000003	16292.609999999615	11514.749999999958	19863.330000000347	12453.840000000206	6681.582000000023	3457.0029999999074	4122.017999999872	16158.585000000276	94.99821364773133	94.03358342265095	94.12290103608431	0.9646302250803842	94.3848993688222	94.99821364773133
PF3D7_1421300	80.69819945595654	57.11388036231624	90.65132534693082	276.7541670387008	189.02776913172954	121.89140231830457	232.89096808521518	71.92548049243024	74.0017615507984	88.66478902862094	171.47172204554622	140.2174172208706	120.97439420358917	155.8445696332084	73.04590798223661	73.56819794188804	128.20801975578485	150.09106353516472	90.692392703846	136.13040000000058	143.11073176758265	7.788495891389783	5.073240443015362	5.841371918542337	2.7152554483744202	6.234369417649161	7.788495891389783
PF3D7_1421400	2147.0450000000706	2602.6939999999217	1408.0400000000043	683.2655999999997	772.3708999999993	668.0290999999983	2374.869499999996	2477.2969999999686	3474.323000000089	1534.7440000000329	592.5711999999992	875.6472000000012	975.4656000000004	2975.8100000000286	2950.6400000000867	3629.691999999928	1569.8350000000046	745.433900000001	507.78619999999864	747.1154999999998	3290.1660000000074	50.37513397642015	55.805644873168994	60.43229724901751	10.057163272597357	55.53769203286888	60.43229724901751
PF3D7_1421500	1432.2089999999737	2548.848999999985	2477.081999999943	837.6798000000008	759.7976999999977	403.5739999999989	2512.965499999964	1464.8779999999651	3418.8379999998974	2321.739000000033	1065.988000000028	576.2028999999998	664.8188999999994	2870.288499999965	1789.0549999999455	3279.1150000000375	1717.4909999999513	917.8519999999982	314.3543000000002	703.5048999999987	2534.0849999999914	52.6616648803144	54.39442658092176	50.46445158985352	3.929974991068242	52.506847683696556	54.39442658092176
PF3D7_1421600	1477.1896817185846	2508.1139651357394	2941.3237062265375	1156.3351143332286	874.4883120253801	756.6845191301329	2724.7188356811384	1380.0656186873787	3407.77324501078	2889.423476862571	1414.966503478459	757.3937281743227	788.0126683474037	3148.598360936676	1772.577843784869	3506.7614423433174	2187.0847887766313	995.1650952042605	443.6219452505463	821.7741552014126	2846.9231155599746	55.769917827795645	58.07431225437656	54.75169703465524	3.322615219721321	56.19864237227581	58.07431225437656
PF3D7_1421800	63.691967853552875	234.42254510328166	263.1614034508855	405.1692989830318	336.09843077887103	322.14453296629165	370.6338648809514	131.59516864550892	432.5040984551486	245.53656356265938	314.80676986685063	411.53058677750704	411.09552061735127	422.0173426163278	55.06216725443173	486.284835289256	201.70697602571948	314.4494268781874	204.20329181832489	309.048656549838	400.3671310837217	10.646659521257593	10.878885316184352	11.629153269024652	0.9824937477670588	11.051566035488866	11.629153269024652
PF3D7_1421900	218.77310000000008	616.5576000000012	4607.959999999987	10348.310000000067	10911.000000000206	7678.387000000123	10629.655000000137	227.4609999999993	1020.1120000000033	5013.501999999975	11005.029999999659	13754.250000000402	5904.707999999928	12379.64000000003	458.8694999999984	1773.7269999999764	8714.223999999926	15056.230000000412	5851.4609999998	4222.4950000000745	11885.22700000017	90.37156127188281	91.28260092890318	90.9967845659164	0.9110396570203676	90.88364892223413	91.28260092890318
PF3D7_1422000	104.3339000000002	737.9138000000011	2395.5559999999214	2068.9320000000585	2366.976999999976	1494.871999999995	2381.266499999949	76.17164999999979	1290.1000000000406	2217.8939999999607	2595.540000000027	2562.295999999989	1537.0910000000297	2578.918000000008	128.18729999999982	1972.6469999999852	2311.714999999944	2770.6979999999953	1440.4669999999653	1242.5720000000038	2541.2064999999698	50.535905680600216	49.69632011432655	50.62522329403358	0.9289031797070351	50.28581636298678	50.62522329403358
PF3D7_1422100	442.9372505784532	358.65010896539553	1674.0620404611889	3533.874089533401	3347.4673879289267	2537.7318590457417	3440.6707387311635	495.57594927013844	657.3647980520387	1879.754483843621	3028.5053495728407	3238.942763138512	2481.3193601253665	3133.724056355676	566.6770627269101	1083.3831872363903	2128.8067298061587	3389.3376406539023	2525.5090109685516	2767.9533889918603	3078.6455148228815	64.70167917113254	57.96713111825652	57.699178277956406	7.0025008931761334	60.12266285578182	64.70167917113254
PF3D7_1422200	816.2313000000014	1025.467000000015	1372.9749999999813	6353.811000000182	8516.141000000272	6656.690000000068	7586.41550000017	1035.0180000000357	1388.5270000000376	1718.260999999945	5959.339999999835	6791.623000000207	7197.975999999808	6994.799500000007	1076.8539999999853	1900.5339999999576	2365.486999999953	7956.158000000279	5630.456999999827	5878.154000000039	6917.156000000159	85.4055019649875	82.45802072168632	82.79742765273312	2.9474812433011692	83.55365011313565	85.4055019649875
